学号,姓名,电话,英语,数学,物理,计算机二级,行数
16017830,柏欣玲,16723632578,92,100,94,71,344
17305971,赵明,11093854061,73,98,78,92,345
17283590,李玲楠,13738430580,41,44,99,94,346
16667143,柏龙楠,13734400121,77,48,60,60,347
17563701,曹靖,18936582110,88,61,79,44,348
16303453,章明,18790437464,97,41,51,47,349
16301312,戚玉,16790156980,91,58,66,80,350
16316079,李玉,15235485539,99,74,47,45,351
16072869,曹诗玲,18652599932,55,99,78,84,352
16001807,章刚楠,18103374849,86,70,74,76,353
16810984,秦靖楠,14266841014,44,58,51,46,354
16163835,秦靖立,12796814521,86,87,48,43,355
16861800,李靖,13537659243,96,63,84,94,356
17292623,王明,15832864811,86,49,81,71,357
16044263,何玉,17520526749,59,97,84,71,358
16346466,郑诗妍,10704113356,91,68,42,85,359
17838780,戚军国,19054295968,89,95,88,48,360
17553710,窦芳,10575992421,86,80,75,92,361
17558176,水靖楠,16951773409,53,60,96,94,362
17653328,张玲玲,13124122967,62,63,86,67,363
17003926,张刚玲,10054246058,99,42,52,60,364
17804314,施靖妍,15145015161,96,84,55,50,365
16451417,戚靖立,17826366938,58,43,85,59,366
16233113,何芳,18248855679,80,44,65,77,367
17402928,张明,17719721460,47,73,81,91,368
16759056,章靖,19281244612,96,56,92,58,369
17578135,水欣玲,16464105307,52,90,90,90,370
16642368,魏默涵,13775701657,77,90,61,68,371
17130289,张玲国,10650948540,62,92,83,42,372
16136476,张默,18185791346,50,95,66,98,373
17304456,吕欣楠,16926728981,44,74,58,70,374
16899409,赵芳立,15628275263,82,82,58,94,375
17623254,姜芳立,18312892407,80,47,69,99,376
17888802,施诗,19330113916,80,78,66,92,377
16501364,戚军妍,13667041019,45,95,51,62,378
16499140,水玉,12534140586,100,66,73,90,379
16765383,喻诗,15109972247,90,46,72,80,380
17676818,何欣妍,10054139393,80,52,93,44,381
17068074,秦靖,17960420875,70,95,60,48,382
16772459,水军国,17492260351,58,51,63,74,383
16729042,姜军,12771382318,67,42,52,76,384
17815955,王玉,18415702028,97,77,59,66,385
16000209,郑明,12423948291,99,64,82,50,386
17903444,施玉国,11426497708,66,80,88,63,387
16744666,王芳,15437304678,55,50,97,80,388
17326507,窦龙,15817356996,52,80,69,50,389
16334608,张龙,12926772624,98,83,77,60,390
16446417,华玉玲,12809437114,84,82,85,54,391
16148197,严龙,10945949528,73,64,74,78,392
16439775,金玉,14897301624,68,52,47,56,393
17299548,张玉,12064207837,75,48,76,89,394
17078985,严欣,14712528291,100,62,81,79,395
17335186,张诗,17825026958,95,54,88,53,396
16767507,赵默,17449328179,72,63,94,55,397
17872823,邹刚楠,16902988884,55,75,86,71,398
17056883,水军,14693239974,79,76,40,65,399
16512457,王芳楠,13309475301,48,98,55,76,400
17618917,吕诗国,11600164325,96,52,54,56,401
16493098,谢玲妍,14438006450,53,76,44,57,402
16972872,李刚,11040951718,93,59,68,55,403
16365331,郑明涵,10495454111,51,94,79,51,404
17657105,李龙国,12120534803,64,91,82,54,405
17156957,水龙涵,13323690371,62,88,46,50,406
16628326,窦靖凡,17124212505,89,67,69,55,407
17957079,孔龙,19778075772,46,64,54,59,408
17921962,姜默,13548852402,46,49,72,84,409
16571319,柏玲玲,14691401189,80,60,55,58,410
17274577,谢军立,10671356920,66,91,98,100,411
16737808,严诗涵,19804670754,81,54,73,69,412
16363805,曹诗,12270974357,49,90,47,83,413
16676206,魏诗,16937229790,70,92,70,54,414
17937505,郑默,16031102309,56,95,78,72,415
17399751,窦玲,12277583316,83,45,46,49,416
16460655,孔玉涵,11761593154,42,77,47,65,417
16942493,喻龙楠,18864424835,63,94,99,44,418
17043923,华靖妍,13471525743,73,87,83,43,419
17467841,水芳,18090319049,70,75,85,89,420
17500660,曹龙涵,19467574243,72,69,69,78,421
16360713,曹诗玲,17617553700,63,56,40,57,422
16803330,华刚,10025032739,98,74,48,91,423
16749088,张明,16270669496,93,100,92,91,424
16168477,吕玉国,12942926520,63,40,43,70,425
16924349,窦龙立,13059300664,43,87,70,91,426
16627691,严玲立,14043310111,70,74,49,59,427
17165222,赵玲玲,18060530536,100,92,64,90,428
16319596,姜玲楠,18523086679,61,98,89,66,429
16805834,秦军立,16753425433,65,79,70,49,430
17424702,严龙,16115356692,51,49,99,40,431
16882218,张默,19193567721,40,90,87,52,432
17360016,曹军凡,19921158246,87,95,54,78,433
16931413,水默立,14092381025,70,42,96,85,434
16902352,王刚玲,15424903239,97,60,97,92,435
17477828,窦靖,13680930945,65,51,43,70,436
16926167,水欣,13945182445,56,43,99,44,437
17877014,王玲,19819464115,62,48,55,62,438
16811989,姜玉,16964206620,81,81,56,83,439
16378271,陶军,10102703692,69,76,40,53,440
17447691,喻靖,12956837614,71,99,40,59,441
16700347,戚芳立,13578596834,56,62,42,90,442
17605516,喻明涵,16269862694,87,93,45,85,443
17259671,何军国,19657155428,88,68,67,49,444
16802320,华龙,10969895316,99,87,70,60,445
16708124,谢玲,10521060539,46,79,75,98,446
17942744,严欣凡,12161183822,90,73,41,68,447
17045049,金诗,18858981365,58,46,92,71,448
16077060,张明凡,18150591937,41,96,54,74,449
16812381,曹默,19526620076,83,64,53,64,450
17085558,窦军玲,15756652611,93,59,96,59,451
16631808,赵诗涵,18003774420,48,70,98,90,452
16854595,陶玲,17895382918,71,55,49,78,453
16824104,邹军玲,15796170601,46,47,75,46,454
17134436,王玲,19935819446,49,91,99,59,455
16118106,姜靖立,10367199616,75,83,48,67,456
17703102,李军立,13647615117,58,50,81,65,457
16867985,戚芳,19580119408,79,83,97,75,458
16600688,柏玉,19311864417,68,83,86,64,459
17666211,金芳玲,11844368837,85,93,79,94,460
17130231,金玉,14326039417,74,91,44,68,461
16041129,华芳,10283549243,69,55,48,71,462
16911923,喻欣,10189018967,90,91,41,89,463
17617279,章刚,19698531770,40,86,57,51,464
17918301,华明立,19389464719,91,75,89,99,465
16298538,金玲玲,16087487864,72,48,41,91,466
16150477,喻靖凡,13302673090,77,92,61,97,467
17696249,陶龙凡,16589353137,97,80,90,84,468
17760185,孔欣立,13898579371,52,61,57,84,469
17976906,陶芳楠,14615430328,97,50,74,100,470
17308422,施明,19962218044,100,49,87,85,471
17854420,谢默立,19894420280,52,65,97,100,472
16588890,金军,10933273431,65,42,52,79,473
16490681,赵玲国,18566588870,97,76,86,80,474
17373490,严明,12233692430,71,96,62,91,475
17522453,秦玉楠,19123626066,43,73,64,62,476
16290016,张军,11495887015,49,62,83,92,477
17303475,孔刚,19697841357,88,43,81,59,478
16012119,张军楠,10196912382,67,98,96,42,479
17037094,张默凡,18677216706,100,48,66,69,480
17210465,章默玲,10774195781,76,42,58,80,481
16415283,戚诗楠,12266380136,78,44,40,77,482
17863141,孔刚凡,19015125055,91,100,88,97,483
17678673,华诗,15675861330,52,100,58,50,484
17786213,孔明,10568854786,61,79,73,48,485
17726381,严玉,12808424035,74,83,63,42,486
17908935,施刚,14736652071,77,40,98,67,487
17890132,华欣凡,12154303665,49,45,47,50,488
17949249,姜龙涵,13292382535,61,99,83,97,489
17188772,曹默,16172723047,95,75,92,94,490
16576022,孔玉涵,15198613488,85,58,64,67,491
17450296,孔刚,19395425735,56,86,51,95,492
17222827,吕明立,14139682897,90,94,86,49,493
16863277,魏靖楠,12919519469,100,48,92,41,494
16339029,吕龙,18074418970,62,69,58,50,495
16440542,赵龙玲,10322136863,71,100,80,86,496
16147268,王明玲,18592529339,96,90,74,58,497
17692871,邹玲,12837623434,82,76,84,51,498
17495009,姜明,15429610781,77,76,79,97,499
16138014,水默凡,16723964849,67,91,79,44,500
16147582,李玲楠,15257287105,91,86,43,80,501
16966874,章军,11590106364,50,76,97,53,502
16434108,金芳,11163352704,71,89,86,58,503
16989659,张明楠,12639144117,49,53,80,68,504
17322357,吕玉妍,14216498251,79,86,87,51,505
16016915,姜明,12403458387,68,91,95,78,506
17012026,金刚,18850584648,55,52,65,56,507
17879552,柏靖立,18299929158,80,57,57,88,508
16756915,金玲涵,12280746369,94,55,64,92,509
17140216,何欣,13596538249,45,99,95,88,510
17042095,赵刚,18360918943,70,100,96,40,511
17671978,魏玉楠,17539750695,49,76,56,98,512
17371837,孔欣楠,14969433956,81,83,80,45,513
17131070,张默,17014900752,53,53,54,42,514
16190859,柏靖玲,13238020500,84,100,90,77,515
16835416,华龙玲,18241567316,73,48,95,58,516
16817565,王玲国,12176090435,92,91,98,43,517
17285517,姜芳,10914894720,81,100,73,88,518
17581063,戚诗,18217934695,57,46,62,93,519
17849183,戚刚,13608930819,72,44,55,83,520
17187536,严刚,14180485053,69,46,46,89,521
17271252,戚军国,11134753971,65,93,96,94,522
16213523,曹军,19420807222,42,77,62,83,523
16674530,魏军,19478352707,93,58,95,66,524
17508516,孔欣涵,10981810567,56,76,86,55,525
16973120,曹龙,16704023732,88,84,52,74,526
16536368,金靖,13523279013,43,40,67,76,527
16478508,陶玲妍,17123488176,61,93,55,51,528
17169470,柏玉涵,16072809945,41,54,61,65,529
17354559,施刚,13390964917,48,80,100,81,530
17532090,戚玉,15818713430,86,100,69,49,531
16087234,姜欣涵,12463595602,61,92,94,53,532
17073908,章玲,16306479210,66,55,92,97,533
16761173,张欣国,14113690823,91,53,57,87,534
17240574,谢明凡,19886714048,88,52,60,73,535
16955795,金明,12005072129,73,89,49,89,536
17843477,魏欣,14379325937,73,97,80,72,537
17163830,严刚涵,14456085214,67,62,80,52,538
16355830,邹刚凡,17135732786,72,52,42,57,539
17512388,秦玉,15457621505,79,45,81,78,540
17897703,章明,10713403083,65,57,44,91,541
16583078,吕明,13089610183,100,47,49,54,542
16009822,严明,17967188206,85,83,46,64,543
17216969,何玉,12607677854,55,65,43,84,544
17815018,曹明,13641320665,84,56,99,90,545
16761426,邹默国,17387511091,48,60,56,77,546
17243456,张玉国,13855030469,95,64,70,92,547
17213997,秦明国,10056038449,91,96,41,81,548
16563136,窦龙,15780110405,83,46,72,50,549
16786613,孔诗国,15022200211,43,70,64,59,550
17909626,魏默楠,11068709626,79,66,83,52,551
16228018,华诗玲,17803452989,54,92,67,88,552
16045700,赵玉妍,15637903430,78,78,50,66,553
16075343,张明玲,11737950520,73,50,64,98,554
16484987,李明涵,15955027702,47,71,61,60,555
16539903,李玉,15105925465,64,72,98,88,556
16689592,秦芳,17260404713,84,52,87,85,557
16655372,姜欣,14664645321,95,91,82,63,558
16147638,施默涵,12839781536,77,55,74,70,559
17773426,魏明国,14059013131,54,94,54,89,560
16742588,王玲凡,18259601621,44,82,91,65,561
17457843,秦明国,10979448192,94,42,47,67,562
17235185,喻军,18764535227,49,91,43,85,563
16437821,秦龙,15055334066,73,99,72,100,564
16958522,魏欣,14561452859,47,64,91,80,565
17120913,水玉,10362567273,85,93,69,96,566
16873405,何欣,10490630423,80,47,48,71,567
17797834,魏玉楠,19231138298,99,68,89,72,568
16712397,魏军,19065824699,64,99,44,54,569
16063346,谢诗,18151484640,61,100,91,87,570
16225907,魏刚,16801846171,85,68,78,50,571
17144711,华龙玲,13826192269,97,53,82,65,572
17725473,窦玉,10888149755,52,51,90,93,573
16239020,吕军,18596232763,94,79,92,91,574
17404926,水军,18427604605,52,59,71,51,575
17025899,何诗,10510356435,65,87,77,68,576
17571722,华芳立,15376279824,57,89,91,76,577
